State,Total cases
American Samoa,0
Guam,314
Northern Mariana Islands,37
Puerto Rico,11453
Virgin Islands,283
Alabama,65234
Alaska,1796
Arizona,141265
Arkansas,32533
California,380745
Colorado,39770
Connecticut,47893
Delaware,13429
District of Columbia,11194
Florida,337569
Georgia,139880
Hawaii,1354
Idaho,14303
Illinois,161785
Indiana,55654
Iowa,38313
Kansas,21693
Kentucky,22184
Louisiana,88590
Maine,3645
Maryland,77206
Massachusetts,113238
Michigan,81338
Minnesota,45470
Mississippi,41846
Missouri,32704
Montana,2471
Nebraska,22481
Nevada,34477
New Hampshire,6188
New Jersey,176814
New Mexico,16736
New York,406305
North Carolina,98092
North Dakota,4907
Ohio,73821
Oklahoma,25057
Oregon,14149
Pennsylvania,104780
Rhode Island,17793
South Carolina,67612
South Dakota,7862
Tennessee,76336
Texas,327106
Utah,33332
Vermont,1338
Virginia,76373
Washington,46026
West Virginia,4894
Wisconsin,41485
Wyoming,2108
Diamond Princess,49
Grand Princess,103
